n_interior_knots,mh_degree,cv_huber_loss,n_params
6,1,0.7327879968275173,20
6,2,0.7499629088524586,30
6,3,0.7534258453357037,40
8,1,0.7353147127419051,24
8,2,0.7523372045421252,36
8,3,0.7533124277556499,48
10,1,0.7381783604070798,28
10,2,0.7529119891462542,42
10,3,0.7594395260277782,56
12,1,0.7374937470302041,32
12,2,0.7546667339074211,48
12,3,0.76328081890751,64
16,1,0.7380043920542694,40
16,2,0.7566396566212004,60
16,3,0.7655796559125203,80
20,1,0.738726106253608,48
20,2,0.7568799046949135,72
20,3,0.7684887381667078,96
25,1,0.7396884952002077,58
25,2,0.7576765672018075,87
25,3,0.7709505246778305,116
30,1,0.7399750601898482,68
30,2,0.7586825897901635,102
30,3,0.7699835738128238,136
40,1,0.7404018133801265,88
40,2,0.7594580268874604,132
40,3,0.778525836832286,176
