n_interior_knots,mh_degree,cv_huber_loss,n_params
6,1,0.7718952947992935,20
6,2,0.7892176812749907,30
6,3,0.7924878082227511,40
8,1,0.7750008618371669,24
8,2,0.7901790488019284,36
8,3,0.7903275788883493,48
10,1,0.7726537062736144,28
10,2,0.7916251554130924,42
10,3,0.7934176565653154,56
12,1,0.7741743069406003,32
12,2,0.7950723978283328,48
12,3,0.7993939571503001,64
16,1,0.7744574165154854,40
16,2,0.7954516067458387,60
16,3,0.8009909602296826,80
20,1,0.7756211600741539,48
20,2,0.7972120492232095,72
20,3,0.803900814847923,96
25,1,0.7775810484333768,58
25,2,0.7969910144723175,87
25,3,0.8063278703875246,116
30,1,0.7772915602557339,68
30,2,0.7975107413235165,102
30,3,0.807338362168507,136
40,1,0.7787577491377131,88
40,2,0.8003147542532819,132
40,3,0.8106902049181421,176
