n_interior_knots,mh_degree,cv_huber_loss,n_params
6,1,0.7718952744910783,20
6,2,0.7892176632734035,30
6,3,0.7924877754373698,40
8,1,0.7750008353696963,24
8,2,0.7901789842994464,36
8,3,0.7903275442358408,48
10,1,0.7726536419391483,28
10,2,0.7916251305923726,42
10,3,0.7934175623025059,56
12,1,0.7741742728218692,32
12,2,0.7950723316346735,48
12,3,0.7993939111096202,64
16,1,0.7744574177857869,40
16,2,0.7954515636313683,60
16,3,0.800990894185001,80
20,1,0.7756211565219626,48
20,2,0.7972120327476631,72
20,3,0.8039006732884963,96
25,1,0.777580992908011,58
25,2,0.7969909703168125,87
25,3,0.8063279087480326,116
30,1,0.777291546199576,68
30,2,0.7975106538523742,102
30,3,0.8073383692662575,136
40,1,0.7787577424183775,88
40,2,0.8003146942675181,132
40,3,0.810690209819502,176
