f,delta_mag,delta_over_sigma,efficiency,n_pos_observed,n_neg_observed,n_upper_limit,p_upper_limit,mean_f_upper_limit
0.001,0.0010862794350442293,0.010958351997705803,0.006029987060320343,19844,1126,20077.281405023525,1.0,0.001
0.003,0.003262104220860703,0.0329080024459249,0.006141982426361541,19844,1126,20077.281405023525,0.9841322192551113,0.002952396657765334
0.01,0.01091201350612522,0.11008004123632448,0.006527944951266963,19844,1126,20077.281405023525,0.925945736522784,0.00925945736522784
0.03,0.0330706643343879,0.3336157980008543,0.007845696879122678,19844,1126,20077.281405023525,0.7704252265933816,0.023112756797801448
0.05,0.05569098677788063,0.5618088831689494,0.009486489204188627,19844,1126,20077.281405023525,0.6371717361162654,0.03185858680581327
0.1,0.1143937264016878,1.1540002321666947,0.01559806428654436,19844,1126,20077.281405023525,0.3875174947891049,0.0387517494789105
0.2,0.242275032520141,2.4440627346528254,0.04533494141016617,19844,1126,20077.281405023525,0.13333033214256274,0.026666066428512547
0.3,0.38725489996435797,3.9066149737732965,0.16872342744356125,19844,1126,20077.281405023525,0.035825035606883916,0.010747510682065175
0.5,0.752574989159953,7.591952282101896,0.9859746878430234,19844,1126,20077.281405023525,0.00613050504278607,0.003065252521393035
0.7,1.3071968632008437,13.1869599065626,0.9999864521734627,19844,1126,20077.281405023525,0.006044604687136864,0.004231223280995805
0.9,2.5,25.21991958095851,0.9999984946859403,19844,1126,20077.281405023525,0.006044531894799922,0.00544007870531993
