f,delta_mag,delta_over_sigma,efficiency,n_pos_observed,n_neg_observed,n_upper_limit,p_upper_limit,mean_f_upper_limit
0.001,0.0010862794350442293,0.03908883150983461,0.004894378133687544,15853,1460,16061.674863089316,0.9879851671950123,0.0009879851671950122
0.003,0.003262104220860703,0.11738401569901075,0.005135529446050447,15853,1460,16061.674863089316,0.9415919136527914,0.0028247757409583744
0.01,0.01091201350612522,0.3926594240980004,0.00613535904449889,15853,1460,16061.674863089316,0.7881483322581734,0.007881483322581734
0.03,0.0330706643343879,1.1900194226106762,0.010932192827118293,15853,1460,16061.674863089316,0.44232415904079414,0.013269724771223824
0.05,0.05569098677788063,2.003992277261852,0.02121920804825194,15853,1460,16061.674863089316,0.22788659160751573,0.011394329580375787
0.1,0.1143937264016878,4.11635989124256,0.19949295001213282,15853,1460,16061.674863089316,0.02423931772241981,0.002423931772241981
0.2,0.242275032520141,8.7180587422553,0.9975171349899415,15853,1460,16061.674863089316,0.004847608957389649,0.0009695217914779298
0.3,0.38725489996435797,13.93503462159192,0.9999834415453434,15853,1460,16061.674863089316,0.00483565306966899,0.001450695920900697
0.5,0.752574989159953,27.080763936759283,0.9999990968115642,15853,1460,16061.674863089316,0.004835577366164458,0.002417788683082229
0.7,1.3071968632008437,47.03835522188785,1.0,15853,1460,16061.674863089316,0.0048355729987269004,0.00338490109910883
0.9,2.5,89.96035055253314,1.0,15853,1460,16061.674863089316,0.0048355729987269004,0.0043520156988542105
