mode,f_injected,p_injected,n_realisations,delta_injected,n_stars,mean_residual,mean_residual_std,p_recovered,p_recovered_std,n_pos_5sig,anchored_f,anchored_f_std,p_recovered_over_injected
sparse,0.1,1e-05,6,0.1143937264016878,800000,0.006291328075490433,1.0945113733727752e-07,0.00014665493427192487,6.02169948571379e-05,4845.833333333333,0.005787455493420746,2.1382157151294709e-07,14.665493427192485
sparse,0.1,0.0001,6,0.1143937264016878,800000,0.0062916719543595805,2.9222534983002535e-07,7.999360051195903e-05,5.059239517108037e-05,4845.0,0.0057969484841619385,9.087329995718772e-07,0.7999360051195902
sparse,0.1,0.001,6,0.1143937264016878,800000,0.006289422950589561,2.101312287403603e-06,-0.001239900807935365,0.00013144289836937027,4828.5,0.005890564157816802,3.299119404702848e-06,-1.239900807935365
sparse,0.1,0.01,6,0.1143937264016878,800000,0.00627919812162353,4.6424561703972416e-06,-0.008759299256059514,0.0002007823437806754,4734.5,0.006833866281976038,9.362776032783242e-06,-0.8759299256059514
sparse,0.3,1e-05,6,0.38725489996435797,800000,0.0062934400914627054,5.088335154917479e-07,2.0849276898020056e-05,5.539328992090134e-06,4846.833333333333,0.005790075013519229,9.575560052109706e-07,2.0849276898020053
sparse,0.3,0.0001,6,0.38725489996435797,800000,0.006307446295858811,2.180960608647424e-06,5.8868546535586034e-05,2.4626479853242937e-05,4852.0,0.005823540734667935,5.560351674946465e-06,0.5886854653558603
sparse,0.3,0.001,6,0.38725489996435797,800000,0.006443520408542559,2.7321179439837708e-06,0.0006230254508349523,3.534156247783187e-05,4928.666666666667,0.006136424068572381,7.1636552819539145e-06,0.6230254508349523
sparse,0.3,0.01,6,0.38725489996435797,800000,0.007804862206593088,1.7744517900388507e-05,0.006381105158846961,0.00023155143522132456,5711.166666666667,0.00933935210584382,2.450970900064005e-05,0.6381105158846961
sparse,0.5,1e-05,6,0.752574989159953,800000,0.006296667508462629,9.148268478309732e-07,1.1406569423550003e-05,1.1335939831612623e-06,4853.0,0.005793555448204239,1.0550124927241262e-06,1.1406569423550001
sparse,0.5,0.0001,6,0.752574989159953,800000,0.006345134824163473,5.025591150015913e-06,9.843446946989448e-05,9.021395134997856e-06,4921.666666666667,0.005857010921074546,6.6143532482587215e-06,0.9843446946989447
sparse,0.5,0.001,6,0.752574989159953,800000,0.006817490226048706,1.9533039613896735e-05,0.0009680797716320309,4.268261097790424e-05,5607.833333333333,0.00649005160917145,2.725212152003049e-05,0.9680797716320308
sparse,0.5,0.01,6,0.752574989159953,800000,0.011417656080213856,6.892615378797683e-05,0.00947632439776482,0.0001324826588648855,12321.0,0.012666882635005816,9.75949312588886e-05,0.947632439776482
uniform,1e-05,1.0,1,1.0857416334704035e-05,800000,0.006291388771690309,,0.000412796697626419,,4846.0,0.005796175538314019,,0.000412796697626419
uniform,0.0001,1.0,1,0.00010857904951876401,800000,0.00629138877210363,,0.0004126263668248401,,4846.0,0.005885654777307625,,0.0004126263668248401
uniform,0.001,1.0,1,0.0010862794350442293,800000,0.006291388742126825,,0.0004092490280335584,,4846.0,0.00678044716724735,,0.0004092490280335584
uniform,0.01,1.0,1,0.01091201350612522,800000,0.006291388513614454,,0.00037750094375235937,,4846.0,0.0157283710666416,,0.00037750094375235937
uniform,0.1,1.0,1,0.1143937264016878,800000,0.006291393393016345,,0.00015998720102391805,,4846.0,0.10520761006058277,,0.00015998720102391805
