mode,f_injected,p_injected,n_realisations,delta_injected,n_stars,mean_residual,mean_residual_std,p_recovered,p_recovered_std,n_pos_5sig,anchored_f,anchored_f_std,p_recovered_over_injected
sparse,0.1,1e-05,12,0.1143937264016878,47927,0.005600405106242587,8.73086798888974e-07,0.0,0.0,218.0,0.005146227748038005,1.4621628256773963e-06,0.0
sparse,0.1,0.0001,12,0.1143937264016878,47927,0.005599662981372101,2.863306636823929e-06,-0.0014963167587476978,0.0010952506368767391,216.91666666666666,0.0051564338808073595,3.744731204278602e-06,-14.963167587476978
sparse,0.1,0.001,12,0.1143937264016878,47927,0.005599726169031988,7.472838138983275e-06,-0.002647329650092081,0.0009234225461623223,216.08333333333334,0.005249377746584562,1.3256910327867737e-05,-2.647329650092081
sparse,0.1,0.01,12,0.1143937264016878,47927,0.005595846820337984,2.483197236789604e-05,-0.013006445672191528,0.003970880737057551,208.58333333333334,0.00618798861729671,3.3741549956438314e-05,-1.300644567219153
sparse,0.3,1e-05,12,0.38725489996435797,47927,0.0056023272529984154,2.6800956903791546e-06,-3.646574043685957e-05,9.710374845187556e-05,217.66666666666666,0.005149270816641775,3.8123924873833083e-06,-3.6465740436859564
sparse,0.3,0.0001,12,0.38725489996435797,47927,0.0056158316023087115,9.771050023546496e-06,-7.293148087371914e-05,0.00015703764633306496,217.33333333333334,0.005183203879359037,1.5084828180354409e-05,-0.7293148087371913
sparse,0.3,0.001,12,0.38725489996435797,47927,0.005759508615693288,3.119989320194549e-05,0.0007019655034095467,0.0002967077842836018,224.41666666666666,0.005499650537425432,5.805860093299995e-05,0.7019655034095467
sparse,0.3,0.01,12,0.38725489996435797,47927,0.007189603189018126,0.00010807029225029475,0.006527367538197863,0.0011276005447187125,277.6666666666667,0.008705930826372018,0.00014538398919726863,0.6527367538197862
sparse,0.5,1e-05,12,0.752574989159953,47927,0.005604170584742415,7.02937335035928e-06,3.5117291754459898e-06,8.201632365797755e-06,218.16666666666666,0.005149747973099379,9.37144774908509e-06,0.35117291754459895
sparse,0.5,0.0001,12,0.752574989159953,47927,0.005655685453144057,2.7684326667780206e-05,7.725804185981177e-05,3.8469065704815714e-05,221.66666666666666,0.00521569069694397,3.329584759117362e-05,0.7725804185981177
sparse,0.5,0.001,12,0.752574989159953,47927,0.0061260458434265475,7.382315880332874e-05,0.0008867116168001124,0.00013989734714877153,260.0833333333333,0.005824555425799109,9.887867784645793e-05,0.8867116168001123
sparse,0.5,0.01,12,0.752574989159953,47927,0.010777618892859815,0.00025561947487681697,0.009390363815142575,0.00046928820176961425,663.6666666666666,0.011984435108256317,0.0003170069949612912,0.9390363815142575
uniform,1e-05,1.0,1,1.0857416334704035e-05,47927,0.005600480116853097,,0.0,,218.0,0.005154900524860673,,0.0
uniform,0.0001,1.0,1,0.00010857904951876401,47927,0.005600480117054496,,0.0,,218.0,0.005244437479182573,,0.0
uniform,0.001,1.0,1,0.0010862794350442293,47927,0.005600480119002179,,0.0,,218.0,0.006139807022406019,,0.0
uniform,0.01,1.0,1,0.01091201350612522,47927,0.005600480138662839,,0.0,,218.0,0.015093502454636587,,0.0
uniform,0.1,1.0,1,0.1143937264016878,47927,0.0056004803460109895,,0.0,,218.0,0.10463045677694183,,0.0
