axis,n,rms_of_means,sigma_over_sqrt_n
random subsample,100,0.0037421610736735745,0.003727851531059415
random subsample,300,0.0022471839414411167,0.002152276084956112
random subsample,1000,0.0013472585814935554,0.0011788501617093679
random subsample,3000,0.000687483714868211,0.0006806094581971373
random subsample,10000,0.00035399130190369557,0.00037278515310594154
random subsample,30000,0.0002207733456391103,0.0002152276084956112
random subsample,100000,0.00011776735567562868,0.00011788501617093677
random subsample,300000,6.98551175466475e-05,6.806094581971374e-05
random subsample,1000000,3.9980950253183554e-05,3.7278515310594154e-05
random subsample,3000000,2.2914251198675035e-05,2.152276084956112e-05
