axis,nside,n_groups,mean_group_n,rms_group_means,expected_if_noise,excess,n_bins
sky (HEALPix),64.0,47540,69,0.013992043755125371,0.004717026408435104,0.013172962852276959,
sky (HEALPix),32.0,12249,271,0.015177058804551368,0.002488939300953413,0.01497158291941703,
sky (HEALPix),16.0,3072,1081,0.01455047572721527,0.0012414772433393762,0.01449741625747675,
sky (HEALPix),8.0,768,4324,0.013619222311203954,0.0006054211173180215,0.013605759134745144,
sky (HEALPix),4.0,192,17299,0.012371772525322098,0.0002962579603850821,0.012368224878260548,
sky (HEALPix),2.0,48,69199,0.010540777457585925,0.0001453933716989975,0.010539774673958528,
sky (HEALPix),1.0,12,276797,0.00781702507652768,7.129238004847433e-05,0.007816699971446364,
A_0,,2000,1660,0.009156818822720252,0.0009147494887600442,0.00911101335335083,2000.0
A_0,,1000,3321,0.009129964875786163,0.00064682555386048,0.009107023407017363,1000.0
A_0,,400,8303,0.009105850458650554,0.0004090883954762041,0.009096656487962663,400.0
A_0,,200,16607,0.009081066946353114,0.00028926917845679,0.009076458572953552,200.0
A_0,,100,33215,0.009050808137305836,0.00020454419764353852,0.009048496538626286,100.0
A_0,,40,83039,0.008976847277286003,0.00012936510933308536,0.008975915090296051,40.0
A_0,,20,166078,0.008895695649322605,9.147494605786631e-05,0.008895225315843372,20.0
A_0,,10,332156,0.008741211903459237,6.468255466601504e-05,0.008740972583660203,10.0
A_0,,5,0,,,,5.0
phot_g_mean_mag,,2000,1660,0.004026549969805908,0.0009147497278871637,0.003921267345473186,2000.0
phot_g_mean_mag,,1000,3321,0.003946855008553798,0.0006468255971263312,0.0038934921478601145,1000.0
phot_g_mean_mag,,400,8303,0.0038407214734306945,0.0004090883995697019,0.003818872623930935,400.0
phot_g_mean_mag,,200,16607,0.0037477557407061554,0.00028926917922762437,0.0037365754955500257,200.0
phot_g_mean_mag,,100,33215,0.003621849345165603,0.00020454419777702078,0.0036160689083910252,100.0
phot_g_mean_mag,,40,83039,0.003405463285989742,0.0001293651093466868,0.003403005268980313,40.0
phot_g_mean_mag,,20,166078,0.0031131635577821286,9.147494606035367e-05,0.0031118193507570354,20.0
phot_g_mean_mag,,10,332156,0.002682643340507485,6.468255466607365e-05,0.0026818634304324723,10.0
phot_g_mean_mag,,5,0,,,,5.0
dist_pc,,2000,1660,0.001854527588171939,0.0009147494887600442,0.0016132284240317819,2000.0
dist_pc,,1000,3321,0.0017409063617088707,0.0006468255538604802,0.001616283286776022,1000.0
dist_pc,,400,8303,0.00167252843010047,0.00040908839547620403,0.0016217268679346245,400.0
dist_pc,,200,16607,0.0016358375398234826,0.00028926917845678997,0.0016100583216426285,200.0
dist_pc,,100,33215,0.0016217177112772354,0.00020454419764353852,0.001608766610257882,100.0
dist_pc,,40,83039,0.0016096422428939984,0.00012936510933308536,0.0016044353581855706,40.0
dist_pc,,20,166078,0.0016042487338718615,9.147494605786634e-05,0.001601638640384647,20.0
dist_pc,,10,332156,0.0015922971498657022,6.468255466601504e-05,0.001590982834788709,10.0
dist_pc,,5,0,,,,5.0
sky_density,,140,23725,0.006989497374879876,0.00043609541112924285,0.0069758794675542305,2000.0
sky_density,,132,25163,0.006802997825055169,0.00034713134148131456,0.006794135650652461,1000.0
sky_density,,118,28148,0.006445799176674386,0.00026165213305506357,0.0064404864092150625,400.0
sky_density,,107,31042,0.0061777806331424195,0.00022633564939904052,0.006173633105800883,200.0
sky_density,,91,36500,0.005693824771074782,0.00019771801626517442,0.005690390857379567,100.0
sky_density,,40,83039,0.005544824254463175,0.00013085197432278423,0.005543280055499535,40.0
sky_density,,20,166078,0.005531407809184914,9.193510541267397e-05,0.005530643749863538,20.0
sky_density,,10,332156,0.005484523359765178,6.47395615751839e-05,0.0054841412520992725,10.0
sky_density,,5,0,,,,5.0
