test,mean_a,err_a,n_a,mean_b,err_b,n_b,difference,difference_err,n_sigma
galactic hemisphere (N vs S),0.0007393983761266048,2.9570417058991824e-05,1602393,0.0017484558672056923,2.83169235901795e-05,1719173,-0.0010090574910790874,4.0942126552669184e-05,-24.645947244118
extinction quartile (low vs high A_0),-0.006770772810576462,3.721678944181728e-05,830392,0.014206927539617354,4.674630326881283e-05,830392,-0.020977700350193817,5.975204001250822e-05,-351.0792325383776
apparent G (bright vs faint),0.00024927515099151934,2.2144817247687204e-05,1660784,0.0022740568710065212,3.437887835003149e-05,1660782,-0.002024781720015002,4.089376734344402e-05,-49.513210729889124
distance (near vs far),0.0026469522801067665,3.0317672967601263e-05,1660783,-0.00012362147728168252,2.7423737484344875e-05,1660783,0.002770573757388449,4.0880590404013034e-05,67.77235186692597
crowding (sparse vs crowded),-0.003505462313397344,2.6142398859659403e-05,1695349,0.006231448157450159,3.119151602338414e-05,1626217,-0.009736910470847503,4.069810425529119e-05,-239.24727328255346
metallicity (metal-poor vs metal-rich),0.0022659824221221503,3.0961704049081354e-05,1660853,0.00025726371563262985,2.6714623540449707e-05,1660713,0.0020087187064895206,4.089374314648697e-05,49.120441219920025
galactic latitude (|b|<20 vs |b|>=20),0.00772470326533183,3.6285588061076555e-05,1279068,-0.0027856653252405633,2.386001560781047e-05,2042498,0.010510368590572392,4.342745958196381e-05,242.02126239356477
colour (blue vs red half),0.0007870772712398386,2.3190130432511424e-05,1660783,0.0017362535315852455,3.369688809440439e-05,1660783,-0.0009491762603454069,4.09055303928907e-05,-23.204105929656198
colour split WITHIN lowest-extinction quartile,-0.006919332018050821,4.322325496579993e-05,415196,-0.006622213603102101,6.0597097759463254e-05,415196,-0.00029711841494871934,7.4432909567667e-05,-3.9917613952549957
distance split WITHIN lowest-extinction quartile,-0.0037589967606278464,5.5357295068983826e-05,415196,-0.009782548860525075,4.931774606032804e-05,415196,0.006023552099897229,7.413953192343167e-05,81.24615766549636
