axis,n,rms_of_means,sigma_over_sqrt_n
random subsample,100,0.012660043908254646,0.01367453386557992
random subsample,300,0.007890497024445805,0.007894995808335218
random subsample,1000,0.004247404085608845,0.004324267295633933
random subsample,3000,0.0025933813731906104,0.002496616887182146
random subsample,10000,0.001360815627200517,0.0013674533865579918
random subsample,30000,0.0008194250423556947,0.000789499580833522
random subsample,100000,0.00043443470819462684,0.00043242672956339323
random subsample,300000,0.0002602226928131283,0.0002496616887182146
random subsample,1000000,0.00013242575345839236,0.0001367453386557992
random subsample,3000000,7.974885686940449e-05,7.89499580833522e-05
