axis,nside,n_groups,mean_group_n,rms_group_means,expected_if_noise,excess,n_bins
sky (HEALPix),64.0,47540,69,0.03134568420451467,0.017303032813822807,0.026137271733923027,
sky (HEALPix),32.0,12249,271,0.028140915065016217,0.009129946425357735,0.026618699798573075,
sky (HEALPix),16.0,3072,1081,0.025793567447247156,0.004553996441635789,0.025388368164678418,
sky (HEALPix),8.0,768,4324,0.02404019355483928,0.002220810432691712,0.023937395580475827,
sky (HEALPix),4.0,192,17299,0.022060429899248227,0.001086735745369702,0.022033646379103503,
sky (HEALPix),2.0,48,69199,0.01958408311513209,0.0005333330924163091,0.019576819641426324,
sky (HEALPix),1.0,12,276797,0.014304001011342849,0.0002615152607897995,0.014301610213569356,
A_0,,2000,1660,0.01953225423070459,0.003355491161155843,0.019241871904788328,2000.0
A_0,,1000,3321,0.019368811861309575,0.002372690507573396,0.019222934548972424,1000.0
A_0,,400,8303,0.019213170135219587,0.0015006212214587107,0.01915447839526312,400.0
A_0,,200,16607,0.01906263707301238,0.001061099441358844,0.01903308173031719,200.0
A_0,,100,33215,0.018865176418405457,0.0007503106103824768,0.0188502497406668,100.0
A_0,,40,83039,0.018574335297756737,0.0004745380962360891,0.018568272546166283,40.0
A_0,,20,166078,0.018339082019737767,0.00033554910577806825,0.01833601200163985,20.0
A_0,,10,332156,0.018004003720686834,0.00023726904811610902,0.01800244020607516,10.0
A_0,,5,0,,,,5.0
phot_g_mean_mag,,2000,1660,0.023303336325342795,0.003355492038323795,0.023060489090060223,2000.0
phot_g_mean_mag,,1000,3321,0.023186168620950378,0.002372690666281526,0.023064447843407925,1000.0
phot_g_mean_mag,,400,8303,0.023110870473129316,0.001500621236474511,0.02306210029313033,400.0
phot_g_mean_mag,,200,16607,0.02308328263990334,0.0010610994441864246,0.02305888126955014,200.0
phot_g_mean_mag,,100,33215,0.02306121802870048,0.0007503106108721177,0.023049008893105856,100.0
phot_g_mean_mag,,40,83039,0.023013851145620837,0.0004745380962859821,0.02300895821518147,40.0
phot_g_mean_mag,,20,166078,0.022872373326792237,0.0003355491057871924,0.02286991185811092,20.0
phot_g_mean_mag,,10,332156,0.022461202670352915,0.0002372690481163241,0.02245994943888955,10.0
phot_g_mean_mag,,5,0,,,,5.0
dist_pc,,2000,1660,0.005041335715290001,0.003355491161155843,0.0037624121068356615,2000.0
dist_pc,,1000,3321,0.004438445260026731,0.002372690507573396,0.0037510180060251457,1000.0
dist_pc,,400,8303,0.004023595467364452,0.0015006212214587107,0.0037332902960663977,400.0
dist_pc,,200,16607,0.00380583382742271,0.001061099441358844,0.003654919848300773,200.0
dist_pc,,100,33215,0.003681667715654593,0.0007503106103824768,0.003604401636394144,100.0
dist_pc,,40,83039,0.0035437680897941024,0.0004745380962360891,0.0035118521992623165,40.0
dist_pc,,20,166078,0.0034235067652698043,0.00033554910577806825,0.003407022948185066,20.0
dist_pc,,10,332156,0.0033380685155635463,0.00023726904811610902,0.003329625326279624,10.0
dist_pc,,5,0,,,,5.0
sky_density,,140,23725,0.0270213336492996,0.0015996885654982337,0.02697394054787296,2000.0
sky_density,,132,25163,0.023510522809000203,0.0012733498760186454,0.02347601462867499,1000.0
sky_density,,118,28148,0.02014607877483606,0.0009597943814693365,0.020123202646378135,400.0
sky_density,,107,31042,0.01814808666908379,0.0008302461825285268,0.018129085498859936,200.0
sky_density,,91,36500,0.016004168979213716,0.0007252707589685167,0.015987726762783126,100.0
sky_density,,40,83039,0.015362479871052855,0.0004799922259099187,0.015354979493687713,40.0
sky_density,,20,166078,0.015320482582582052,0.000337237065888189,0.015316770473066153,20.0
sky_density,,10,332156,0.015096105680876876,0.00023747816130194986,0.015094237670419388,10.0
sky_density,,5,0,,,,5.0
