test,mean_a,err_a,n_a,mean_b,err_b,n_b,difference,difference_err,n_sigma
galactic hemisphere (N vs S),0.0034523928273083406,0.00010634710608087778,1602393,0.008949115506225134,0.00010574071020479789,1719173,-0.005496722678916793,0.0001499693460891009,-36.652308103357605
extinction quartile (low vs high A_0),-0.012577045608460895,0.0001362612298866696,830392,0.031984621305760734,0.000159581861808422,830392,-0.04456166691422163,0.00020984159117884644,-212.35860185716018
apparent G (bright vs faint),-0.007794811759447728,8.355063996259646e-05,1660784,0.020389591472580574,0.00012368829880135556,1660782,-0.028184403232028303,0.0001492632061109932,-188.82351495967586
distance (near vs far),0.005766462484413422,0.00010228337269212115,1660783,0.006828300258168044,0.00010980172803473153,1660783,-0.0010618377737546224,0.0001500610136200889,-7.07604025948331
crowding (sparse vs crowded),-0.006488378054368729,9.932252882545075e-05,1695349,0.019626675344070716,0.00011202913606770002,1626217,-0.026115053398439444,0.00014971804186656243,-174.42823238173742
metallicity (metal-poor vs metal-rich),0.005803060990471047,0.00011632002182154721,1660853,0.006791743423882314,9.480307227435937e-05,1660713,-0.0009886824334112672,0.0001500598880088301,-6.588585707548239
galactic latitude (|b|<20 vs |b|>=20),0.023084574536975978,0.00012966134374719574,1279068,-0.004215217215364771,9.030365298752976e-05,2042498,0.02729979175234075,0.00015800890419599982,172.77375532252995
colour (blue vs red half),-0.019726995998989052,8.24812045681184e-05,1660783,0.03232175874157051,0.0001220651324619185,1660783,-0.05204875474055956,0.00014731953594127801,-353.3051771307937
colour split WITHIN lowest-extinction quartile,-0.04647064640936589,0.00018112898901384588,415196,0.0213165551924441,0.00018954471581179687,415196,-0.06778720160181,0.00026217343487346833,-258.5586203061567
distance split WITHIN lowest-extinction quartile,-0.007424155594366632,0.00018068894499170154,415196,-0.017729935622555162,0.00020369630090442896,415196,0.01030578002818853,0.0002722878584225926,37.84884161890866
