axis,nside,n_groups,mean_group_n,rms_group_means,expected_if_noise,excess,n_bins
sky (HEALPix),64.0,542,87,0.019554357829571465,0.014913988231075688,0.012646970592606702,
sky (HEALPix),32.0,156,306,0.0151627790649562,0.009423571342093212,0.011878811899055963,
sky (HEALPix),16.0,48,997,0.013203599621307155,0.0072041809413127,0.011065026883139928,
sky (HEALPix),8.0,20,2396,0.014404667122668798,0.007399333496323192,0.01235897644326119,
sky (HEALPix),4.0,9,5325,0.017193126954378926,0.007638478415473651,0.0154031575323287,
sky (HEALPix),2.0,7,6846,0.010537450056168228,0.0020996422969844597,0.01032614913270933,
sky (HEALPix),1.0,3,15975,0.004218938101541036,0.0014484422132577325,0.003962506007501783,
A_0,,2000,23,0.02824352180599299,0.02658394744589873,0.009538881601073362,2000.0
A_0,,1000,47,0.020332448775099685,0.018797372657560256,0.007750306727146919,1000.0
A_0,,400,119,0.014423504776210353,0.011888386128069145,0.00816723731131256,400.0
A_0,,200,239,0.011742827453080544,0.008406331518848696,0.008199243074091235,200.0
A_0,,100,479,0.01019838427045974,0.005944164560411177,0.008286974683605135,100.0
A_0,,40,1198,0.008923223809014313,0.0037594183370939626,0.00809263226104347,40.0
A_0,,20,2396,0.008229478276671075,0.00265831011853122,0.0077883053368441885,20.0
A_0,,10,4792,0.008049813823755681,0.0018797090826739573,0.007827272600442704,10.0
A_0,,5,9585,0.007726073236916859,0.0013291550346762897,0.007610883953654636,5.0
phot_g_mean_mag,,2000,23,0.033629796983666624,0.02658431672092311,0.02059702283448462,2000.0
phot_g_mean_mag,,1000,47,0.02766060231629602,0.018797413404850034,0.020292022318818916,1000.0
phot_g_mean_mag,,400,119,0.0239529183064674,0.011888394371820616,0.020794431337652994,400.0
phot_g_mean_mag,,200,239,0.02239924790240718,0.008406331518848696,0.020761982010123782,200.0
phot_g_mean_mag,,100,479,0.021560029818043194,0.005944165078848221,0.020724424896008887,100.0
phot_g_mean_mag,,40,1198,0.02089044915122875,0.003759418402589351,0.02054939510093537,40.0
phot_g_mean_mag,,20,2396,0.020632274152705733,0.00265831011853122,0.020460306058955317,20.0
phot_g_mean_mag,,10,4792,0.020245067734381453,0.0018797090826739573,0.020157615467465542,10.0
phot_g_mean_mag,,5,9585,0.019072237679847233,0.0013291550346762895,0.01902586652456017,5.0
dist_pc,,2000,23,0.026787879890340524,0.02658394744589873,0.0032991282504632314,2000.0
dist_pc,,1000,47,0.018875792427176984,0.018797372657560256,0.0017188138138489815,1000.0
dist_pc,,400,119,0.012353258002980726,0.011888386128069145,0.003356971634991943,400.0
dist_pc,,200,239,0.009917194446053976,0.008406331518848696,0.005261590641246694,200.0
dist_pc,,100,479,0.007771972854145435,0.005944164560411177,0.00500704201343721,100.0
dist_pc,,40,1198,0.006638057429170668,0.0037594183370939626,0.00547088477302251,40.0
dist_pc,,20,2396,0.005691727890627425,0.00265831011853122,0.005032807734720316,20.0
dist_pc,,10,4792,0.005308038158033422,0.0018797090826739573,0.0049640671683259755,10.0
dist_pc,,5,9585,0.004643743750513597,0.0013291550346762897,0.004449460968952167,5.0
sky_density,,285,167,0.01638563478777153,0.01396567513519364,0.008570236018713996,2000.0
sky_density,,275,174,0.015291258253173023,0.01269130146750913,0.008529563061847463,1000.0
sky_density,,226,212,0.013702613772585436,0.010500994270735321,0.00880288268277114,400.0
sky_density,,164,292,0.011383902552205996,0.00846967762906586,0.007606431369428341,200.0
sky_density,,97,494,0.007841588947894423,0.006155791397141432,0.004857648556927467,100.0
sky_density,,40,1198,0.00518996645203026,0.0038093019495276273,0.0035249071520430985,40.0
sky_density,,20,2396,0.003836926522198188,0.0026705551163815856,0.0027550209630991954,20.0
sky_density,,10,4792,0.002698898251002933,0.001883638727584522,0.0019328623627176498,10.0
sky_density,,5,9585,0.0025937269827715505,0.0013307891212613028,0.002226301860909652,5.0
