test,mean_a,err_a,n_a,mean_b,err_b,n_b,difference,difference_err,n_sigma
galactic hemisphere (N vs S),0.006559480112262886,0.000934183842520231,19457,0.004945079241785761,0.0007705081933639469,28470,0.0016144008704771246,0.0012109427433478583,1.333176881686278
extinction quartile (low vs high A_0),-0.004000943353166003,0.0011231326059671814,11982,0.015873761180371884,0.0012397273806473473,11982,-0.019874704533537887,0.001672827196369477,-11.880907111428959
apparent G (bright vs faint),-0.007543426466307111,0.0006627300696887911,23964,0.018744935208301266,0.000979664513633021,23963,-0.026288361674608376,0.0011827737334509647,-22.226027625678785
distance (near vs far),0.006786655331284091,0.0008216242342439786,23964,0.004414255402038461,0.0008591686578927081,23963,0.00237239992924563,0.0011887965195954105,1.9956316242017949
crowding (sparse vs crowded),0.003969451887008361,0.0008392198277320653,23999,0.007236347990706534,0.0008419321633979903,23928,-0.0032668961036981733,0.0011887555202911395,-2.7481648227367
metallicity (metal-poor vs metal-rich),0.005895497028149913,0.0009410341090906363,23970,0.005305303117802153,0.0007263643861011357,23957,0.00059019391034776,0.0011887600329200537,0.496478594504911
galactic latitude (|b|<20 vs |b|>=20),0.00761084598609871,0.0006901328213083447,35725,-0.00028546650511693266,0.001168180109669797,12202,0.007896312491215644,0.0013568080482054764,5.819771265109579
colour (blue vs red half),-0.02099763721642528,0.0006658610664763812,23964,0.03219970741611464,0.0009544374317579115,23963,-0.05319734463253992,0.0011637533119135265,-45.71187388938042
colour split WITHIN lowest-extinction quartile,-0.03349713592344009,0.0015821230093705806,5991,0.025495249217108086,0.0015008406811107078,5991,-0.05899238514054818,0.0021807420679339122,-27.051518842133856
distance split WITHIN lowest-extinction quartile,-0.0053693813894800215,0.0014489466677967597,5991,-0.002632505316851984,0.0017164081344979943,5991,-0.0027368760726280373,0.002246219786728409,-1.2184364543481576
