axis,nside,n_groups,mean_group_n,rms_group_means,expected_if_noise,excess,n_bins
sky (HEALPix),64.0,542,87,0.010272343791137383,0.004153868459551592,0.00939502122318312,
sky (HEALPix),32.0,156,306,0.009251714385414516,0.002624668543903761,0.008871602679557285,
sky (HEALPix),16.0,48,997,0.009266411858113251,0.0020065202899025706,0.009046560951565584,
sky (HEALPix),8.0,20,2396,0.008196540173559516,0.0020608744995545473,0.007933225517647967,
sky (HEALPix),4.0,9,5325,0.009351677198564013,0.0021274815346098144,0.009106464118747536,
sky (HEALPix),2.0,7,0,,,,
sky (HEALPix),1.0,3,0,,,,
A_0,,2000,23,0.010456816514461375,0.007404204637616993,0.007383953229903556,2000.0
A_0,,1000,47,0.008961159732098033,0.005235475058373793,0.007272701331508205,1000.0
A_0,,400,119,0.008063000888643231,0.0033111728001407516,0.007351742515748874,400.0
A_0,,200,239,0.0076807600698012395,0.002341345240163266,0.007315201823341442,200.0
A_0,,100,479,0.007486108870738437,0.0016555784611944444,0.0073007455772255035,100.0
A_0,,40,1198,0.007350991617307767,0.0010470793603132792,0.007276036185378341,40.0
A_0,,20,2396,0.007273360300733442,0.0007403968935730649,0.0072355775515346825,20.0
A_0,,10,4792,0.007118529002212272,0.0005235396562391441,0.007099250762135554,10.0
A_0,,5,0,,,,5.0
phot_g_mean_mag,,2000,23,0.00866759223916728,0.007404307488702356,0.004505927855305616,2000.0
phot_g_mean_mag,,1000,47,0.006961276824128141,0.0052354864073757635,0.004587925141098882,1000.0
phot_g_mean_mag,,400,119,0.005573031156548734,0.00331117509620393,0.004482721913541126,400.0
phot_g_mean_mag,,200,239,0.005078060342167928,0.002341345240163266,0.004506084697946043,200.0
phot_g_mean_mag,,100,479,0.004678035481789043,0.0016555786055903801,0.004375280042418846,100.0
phot_g_mean_mag,,40,1198,0.0042503717523070484,0.001047079378555162,0.004119379177474953,40.0
phot_g_mean_mag,,20,2396,0.0038293286523324293,0.0007403968935730649,0.0037570693855133227,20.0
phot_g_mean_mag,,10,4792,0.0034620604913635613,0.0005235396562391441,0.003422246203037634,10.0
phot_g_mean_mag,,5,0,,,,5.0
dist_pc,,2000,23,0.00773926742167863,0.00740420463761699,0.0022525571931800636,2000.0
dist_pc,,1000,47,0.005505906988412956,0.005235475058373791,0.0017043511017981539,1000.0
dist_pc,,400,119,0.003774499195890769,0.0033111728001407516,0.0018118992431667156,400.0
dist_pc,,200,239,0.0029343606680736255,0.002341345240163266,0.0017687778257040405,200.0
dist_pc,,100,479,0.0023930697341021942,0.0016555784611944444,0.0017279591173129595,100.0
dist_pc,,40,1198,0.0020457307716333587,0.0010470793603132792,0.0017574524753783674,40.0
dist_pc,,20,2396,0.001923499654633653,0.0007403968935730649,0.0017752924720628818,20.0
dist_pc,,10,4792,0.001695606930637571,0.0005235396562391441,0.0016127582247724434,10.0
dist_pc,,5,0,,,,5.0
sky_density,,285,167,0.008290634161754582,0.0038897427409489527,0.007321510514455813,2000.0
sky_density,,275,174,0.007941312686628703,0.00353480209718153,0.007111232053629739,1000.0
sky_density,,226,212,0.007554297439216881,0.0029247541448538003,0.006965143429414735,400.0
sky_density,,164,292,0.00624600467993817,0.0023589885026621647,0.005783402779170515,200.0
sky_density,,97,494,0.004865224209967601,0.0017145211148071643,0.004553111459226017,100.0
sky_density,,40,1198,0.003991762336879238,0.0010609730258523827,0.003848181751495274,40.0
sky_density,,20,2396,0.003614052829484505,0.0007438073904549067,0.0035366832513259675,20.0
sky_density,,10,4792,0.0034609456111995094,0.0005246341473838547,0.0034209506770896247,10.0
sky_density,,5,0,,,,5.0
