test,mean_a,err_a,n_a,mean_b,err_b,n_b,difference,difference_err,n_sigma
galactic hemisphere (N vs S),0.00533794847346131,0.0002720892819863306,19457,-0.0015415546456917983,0.00020597185632814985,28470,0.006879503119153109,0.0003412579419897813,20.15924692928937
extinction quartile (low vs high A_0),-0.004373707463658252,0.00035452476276804723,11982,0.011510075091979882,0.00033462756000644816,11982,-0.015883782555638132,0.0004875073449001658,-32.5816271730037
apparent G (bright vs faint),-0.00026948453444503023,0.00016991971262736118,23964,0.0027722042343918513,0.0002838594639214156,23963,-0.0030416887688368816,0.0003308306273565349,-9.194096668561661
distance (near vs far),0.0021458887174852837,0.00024910692311103815,23964,0.0003567301865156235,0.00021798654969660836,23963,0.0017891585309696603,0.00033101721252901724,5.405031712098117
crowding (sparse vs crowded),-0.0014457821578395724,0.00022316422936401422,23999,0.00395644135286205,0.00024342625918920502,23928,-0.005402223510701623,0.0003302402412342935,-16.358465250965406
metallicity (metal-poor vs metal-rich),0.0018596706044847855,0.00025703747547266303,23970,0.0006426555201315237,0.000208634585976305,23957,0.001217015084353262,0.000331053854022067,3.676184613371514
galactic latitude (|b|<20 vs |b|>=20),0.0036604531882594043,0.00019641323942635883,35725,-0.005802105184828389,0.00029445956612326107,12202,0.009462558373087793,0.00035395564228227146,26.733740736760513
colour (blue vs red half),0.0008539070270988694,0.0001815617578464128,23964,0.0016487657925924931,0.0002768822202446189,23963,-0.0007948587654936237,0.0003311018510970138,-2.4006473019105163
colour split WITHIN lowest-extinction quartile,-0.005012422400123289,0.00040175531762173106,5991,-0.0037349925271932135,0.0005841657707308087,5991,-0.001277429872930076,0.0007089830625133846,-1.8017777017147851
distance split WITHIN lowest-extinction quartile,-0.0018114095891215325,0.0005183680163734022,5991,-0.00693600533819497,0.00048155548468117605,5991,0.005124595749073437,0.0007075316849621775,7.242920505174807
