axis,nside,n_groups,mean_group_n,rms_group_means,expected_if_noise,excess,n_bins
sky (HEALPix),64.0,542,87,0.03198979856534702,0.02092064660999013,0.024200697462498616,
sky (HEALPix),32.0,156,306,0.0262813892984925,0.013218946052349339,0.022714992597929543,
sky (HEALPix),16.0,48,997,0.023188942813991094,0.010105688783741145,0.020871083417894665,
sky (HEALPix),8.0,20,2396,0.022049282776633854,0.010379439679554795,0.01945348562346722,
sky (HEALPix),4.0,9,5325,0.021837543654593655,0.010714901010528403,0.019028116280937032,
sky (HEALPix),2.0,7,6846,0.022392577447394195,0.0029452802176062618,0.022198037056850868,
sky (HEALPix),1.0,3,15975,0.008899090121262639,0.002031807133615486,0.00866403859398973,
A_0,,2000,23,0.04477978719559312,0.03729072072454518,0.02479176252561689,2000.0
A_0,,1000,47,0.03584048974942625,0.026368077034263915,0.024274785663190773,1000.0
A_0,,400,119,0.029667798862352067,0.016676473193817504,0.02453718670004499,400.0
A_0,,200,239,0.0270141465249132,0.01179200950593553,0.024304580314858472,200.0
A_0,,100,479,0.025765841745278736,0.008338196613356202,0.024379357622377244,100.0
A_0,,40,1198,0.02446829988260679,0.005273536579945851,0.023893252417474444,40.0
A_0,,20,2396,0.023821663051424982,0.003728953362969192,0.023527994758423994,20.0
A_0,,10,4792,0.023449431472674347,0.0026367681695142553,0.023300714366986403,10.0
A_0,,5,9585,0.022107410838428907,0.0018644766469918448,0.022028648183942335,5.0
phot_g_mean_mag,,2000,23,0.04760451439353496,0.03729123872631421,0.02958974999727644,2000.0
phot_g_mean_mag,,1000,47,0.0400671838377396,0.02636813419266022,0.03016787562764545,1000.0
phot_g_mean_mag,,400,119,0.03516955728095271,0.016676484757767306,0.03096437655536065,400.0
phot_g_mean_mag,,200,239,0.03311628558710378,0.011792009505935532,0.030945708634615935,200.0
phot_g_mean_mag,,100,479,0.0320245996245187,0.008338197340595491,0.030920049259663372,100.0
phot_g_mean_mag,,40,1198,0.03114121928017649,0.005273536671819724,0.03069145400965892,40.0
phot_g_mean_mag,,20,2396,0.03055293295939563,0.003728953362969192,0.030324521747887873,20.0
phot_g_mean_mag,,10,4792,0.02936651942559196,0.0026367681695142553,0.029247904485516677,10.0
phot_g_mean_mag,,5,9585,0.026311301978416243,0.0018644766469918448,0.026245158384590336,5.0
dist_pc,,2000,23,0.039366457759654014,0.03729072072454518,0.012614283348117733,2000.0
dist_pc,,1000,47,0.029275022246917127,0.026368077034263915,0.012718153996261273,1000.0
dist_pc,,400,119,0.0207697079632376,0.016676473193817504,0.012380468920604808,400.0
dist_pc,,200,239,0.01722490566654359,0.01179200950593553,0.012555711331232953,200.0
dist_pc,,100,479,0.014743387374486463,0.008338196613356202,0.012159027449232196,100.0
dist_pc,,40,1198,0.013153700724691582,0.005273536579945851,0.012050296871642824,40.0
dist_pc,,20,2396,0.01254633212217199,0.003728953362969192,0.0119793721261444,20.0
dist_pc,,10,4792,0.01221526887776516,0.0026367681695142553,0.011927290026503697,10.0
dist_pc,,5,9585,0.011250978264545807,0.0018644766469918448,0.011095415212695027,5.0
sky_density,,285,167,0.025756118926542573,0.01959039725970329,0.016721064480624864,2000.0
sky_density,,275,174,0.02469464401525697,0.017802765357516806,0.01711394135392156,1000.0
sky_density,,226,212,0.02297984826601841,0.014730304650088856,0.017637787594956458,400.0
sky_density,,164,292,0.018990245194134777,0.01188086847279521,0.014814667625886846,200.0
sky_density,,97,494,0.013515662037603385,0.008635056862662192,0.010397543618244834,100.0
sky_density,,40,1198,0.010511787517060882,0.005343510983249985,0.009052323854995674,40.0
sky_density,,20,2396,0.009017377904814775,0.0037461300744429074,0.008202415116512702,20.0
sky_density,,10,4792,0.008327032517033043,0.0026422804919864805,0.007896697052653934,10.0
sky_density,,5,9585,0.0076721907647112715,0.0018667688673855791,0.007441618448017937,5.0
