cut,n,sigma,n_pos,pos_rate,efficiency,p_ul,mean_f_ul,gain
none (baseline),3321566,0.09912799253680192,19844,0.0059742904401116825,0.9859746878430234,0.00613050504278607,0.003065252521393035,1.0
C* below 75th pct (+0.357),2491174,0.09151752253750793,9002,0.003613557302701457,0.992086863462769,0.0037061628586308936,0.0018530814293154468,1.6541380604765872
C* below 50th pct (+0.010),1660783,0.08148300070041345,5155,0.003103957591088059,0.9965046607533916,0.0031871571533908785,0.0015935785766954392,1.9235025910986872
C* below 25th pct (-0.283),830392,0.07018789940424551,2740,0.0032996464320465516,0.9991485948804901,0.003408137237857508,0.001704068618928754,1.7987846776498801
C* below 10th pct (-0.489),332157,0.06445284690490811,1423,0.004284118654732551,0.9996387250607394,0.004477312365124376,0.002238656182562188,1.3692377352402505
C* below 5th pct (-0.597),166079,0.06327197896543695,931,0.005605765930671548,0.9996688323026993,0.005919489089523662,0.002959744544761831,1.0356476631802338
RUWE below 50th pct (1.010),1660785,0.09558873758606337,9163,0.005517270447408906,0.9894760610193373,0.005672723537520075,0.0028363617687600373,1.0806987159233432
RUWE below 25th pct (0.978),830392,0.09159972473711614,4583,0.005519080145280783,0.992814237131379,0.005696007308253664,0.002848003654126832,1.076281105521548
RUWE below 10th pct (0.949),332157,0.08570391305551721,1878,0.0056539527994291855,0.9958393169495149,0.005897858529511047,0.0029489292647555234,1.0394459297575438
C*<50pct AND RUWE<50pct,894357,0.0803212191996174,2836,0.0031709932387178723,0.9967742187962972,0.003281286988668771,0.0016406434943343855,1.868323332874104
C*<25pct AND RUWE<50pct,456503,0.06946538220598401,1486,0.0032551812364869453,0.9991741565772843,0.0034003579217393855,0.0017001789608696927,1.8028999252085005
C*<25pct AND RUWE<25pct,255576,0.06782357983385577,760,0.0029736751494663038,0.999311359439071,0.003159501448092672,0.001579750724046336,1.9403393679363352
C*<10pct AND RUWE<25pct,108133,0.06263869355967129,404,0.0037361397538216825,0.9997225638796667,0.004057803491937527,0.0020289017459687634,1.5107939689457133
C*<10pct AND RUWE<10pct,53674,0.060962195392632534,185,0.003446733986660208,0.9997950590602527,0.003894429676502494,0.001947214838251247,1.5741727421027023
C*<5pct AND RUWE<25pct,55766,0.061871456310201474,256,0.004590610766416813,0.9997130868270989,0.0050928281268183785,0.0025464140634091892,1.2037525889600276
C*<10pct AND RUWE<25pct AND aen<50pct,93957,0.06402698641345296,325,0.0034590291303468607,0.9996062028374681,0.003793187398986421,0.0018965936994932106,1.6161882865118145
