HIP,Gaia,RA_ICRS,DE_ICRS,RV,e_RV,plx,e_plx,pmRA,pmDE,e_pmRA,e_pmDE,pmRApmDEcor,pmRAhg,pmDEhg,e_pmRAhg,e_pmDEhg,pmRApmDEhg,pmRAhip,pmDEhip,e_pmRAhip,e_pmDEhip,pmRApmDEhip,EpochRAgaia,EpochDEgaia,EpochRAhip,EpochDEhip,dpmRA,dpmDE,chi2,source_id,local_resultant,dv_kms
85567,4556905020537693696,262.30313017746,22.13188711291,-5.038,1.474,10.3542,0.1559,-35.225,-122.088,0.134,0.187,-0.0187,-35.312,-122.749,0.02,0.029,-0.2815,-34.565,-121.399,0.804,1.055,-0.1902,2015.9,2016.1,1991.2,1991.2,1e-04,-0.0002,12.75,4556905020537693696,0.49323187808620306,0.30689859802505143
19157,39026791568954112,61.59571506443,14.40248651811,69.56,0.212,17.2761,0.0593,57.65,66.323,0.099,0.058,0.1213,65.511,62.133,0.032,0.026,0.2333,67.091,59.01,0.995,0.77,0.1965,2016.2,2015.6,1991.1,1991.1,-0.0017,-0.002,11660.0,39026791568954112,0.4861308069498057,2.444591783734891
84187,4566990737619613184,258.13687011882,20.79914733178,-55.019,0.586,12.1324,0.0687,-259.762,-185.582,0.071,0.079,-0.0181,-259.549,-185.326,0.028,0.035,-0.0798,-259.193,-184.585,0.971,1.218,-0.1567,2015.8,2016.1,1991.1,1991.2,-0.0033,-0.0047,16.99,4566990737619613184,0.4664600130360932,0.12693989279856577
21588,3309990523179108480,69.53972623055,16.03321751201,38.4,2.9,17.8209,0.4222,84.967,-8.794,0.783,0.458,0.2548,92.486,-24.944,0.058,0.037,0.2911,110.744,-40.267,1.86,1.331,0.4795,2015.9,2015.9,1991.4,1991.3,-0.0015,0.0,1603.0,3309990523179108480,0.4577142882829112,4.738189200432964
21673,3309925278333043328,69.78859297705,15.7995549231,26.1,10.0,17.0392,0.4237,35.477,-63.675,0.639,0.335,0.0125,38.144,-69.83,0.047,0.029,0.1035,37.899,-71.076,2.653,1.748,0.6626,2015.9,2015.9,1991.4,1991.5,-0.0004,0.0007,355.1,3309925278333043328,0.45630128135583436,1.8655252811266307
50849,5472788001629290496,155.7470438211,-24.33376692625,,,4.5755,0.0492,20.387,-20.535,0.066,0.073,0.0662,21.556,-21.813,0.02,0.016,-0.0931,22.384,-24.48,0.598,0.506,-0.1515,2015.8,2015.8,1991.4,1991.5,0.0,0.0,612.1,5472788001629290496,0.4511942961780737,1.794831429612353
8323,520079071642252416,26.83021950787,68.58984518754,,,3.6391,0.0782,-8.525,1.513,0.09,0.115,-0.2367,-6.701,-0.878,0.027,0.027,-0.2399,-8.069,-0.725,0.785,0.786,-0.2655,2016.2,2016.0,1991.2,1991.2,0.0,0.0,637.1,520079071642252416,0.4478467495605898,3.911701215444014
64194,1556555732153431680,197.3438884384,51.15489963168,-39.309,0.376,8.0818,0.0386,-63.87,-11.668,0.041,0.058,0.1019,-65.429,-14.855,0.026,0.029,0.1038,-67.187,-12.547,0.818,0.754,0.0591,2015.9,2016.0,1991.4,1991.2,-0.0005,-0.0004,3173.0,1556555732153431680,0.4464590877961102,2.081519383455327
99885,2084473973811564544,303.98754005012,48.45133173504,,,3.9551,0.0217,-8.472,-15.015,0.03,0.032,-0.1292,-6.606,-15.709,0.025,0.022,-0.1689,-4.764,-12.216,0.863,0.596,-0.1239,2016.1,2016.2,1991.0,1991.3,0.0,0.0,2427.0,2084473973811564544,0.4461896582989825,2.38449807369673
99785,2084127627652690560,303.689937614,47.44062885114,-21.8,3.7,3.994,0.0472,7.299,5.341,0.071,0.073,-0.1049,8.045,5.581,0.018,0.016,-0.0037,7.972,5.834,0.583,0.516,0.0122,2016.1,2016.2,1991.2,1991.2,0.0,0.0,122.7,2084127627652690560,0.4452937974780637,0.9264008908888274
