T_K,d_pc,f,best_band,best_SNR,detectable
20,100,1.0,Herschel SPIRE 250 (pointed),8398.145446058272,True
20,500,1.0,Herschel SPIRE 250 (pointed),335.9258178423309,True
20,500,0.5,Herschel SPIRE 250 (pointed),167.96290892116545,True
30,100,1.0,Herschel SPIRE 250 (pointed),4788.575601962617,True
30,500,1.0,Herschel SPIRE 250 (pointed),191.54302407850471,True
30,500,0.5,Herschel SPIRE 250 (pointed),95.77151203925236,True
50,100,1.0,Herschel SPIRE 250 (pointed),1668.1553846479267,True
50,500,1.0,Herschel SPIRE 250 (pointed),66.72621538591709,True
50,500,0.5,Herschel SPIRE 250 (pointed),33.36310769295854,True
75,100,1.0,Herschel SPIRE 250 (pointed),617.1459157172412,True
75,500,1.0,Herschel SPIRE 250 (pointed),24.685836628689653,True
75,500,0.5,Herschel SPIRE 250 (pointed),12.342918314344827,True
100,100,1.0,WISE W4,1594.6821481881636,True
100,500,1.0,WISE W4,63.787285927526554,True
100,500,0.5,WISE W4,31.893642963763277,True
150,100,1.0,WISE W4,2818.4720880762266,True
150,500,1.0,WISE W4,112.73888352304908,True
150,500,0.5,WISE W4,56.36944176152454,True
200,100,1.0,WISE W3,6361.681163696406,True
200,500,1.0,WISE W3,254.46724654785623,True
200,500,0.5,WISE W3,127.23362327392812,True
300,100,1.0,WISE W3,9419.555334962004,True
300,500,1.0,WISE W3,376.7822133984803,True
300,500,0.5,WISE W3,188.39110669924014,True
600,100,1.0,WISE W2,30566.037183042026,True
600,500,1.0,WISE W2,1222.641487321681,True
600,500,0.5,WISE W2,611.3207436608405,True
